Bib	Team	Start	Swim	T1	Bike	T2	Run	USAT Penalty	Elapsed	Div Place	Division
781	TEAM CHINCHURRO	08:30:00	00:28:20	00:02:40	01:05:11	00:00:59	00:36:53	00:00:00	02:14:04	1	RELAY CO-ED
732	THE INCREDIBLE YS	08:30:00	00:27:28	00:03:10	00:59:12	00:00:26	00:46:10	00:00:00	02:16:28	2	RELAY CO-ED
777	AUSSIE CHICK & 2 MEN	08:30:00	00:24:15	00:02:44	01:05:35	00:00:24	00:42:39	00:02:00	02:17:38	3	RELAY CO-ED
721	ENPP WON	08:30:00	00:20:24	00:02:35	01:08:27	00:00:36	00:49:00	00:00:00	02:21:03	4	RELAY CO-ED
720	BEASTS FROM THE EAST	08:30:00	00:31:30	00:04:29	01:13:24	00:00:33	00:39:09	00:00:00	02:29:06	5	RELAY CO-ED
731	THE GOONIES	08:30:00	00:28:07	00:03:27	01:16:59	00:00:31	00:47:04	00:00:00	02:36:11	6	RELAY CO-ED
729	TEAM REDEMPTION	08:30:00	00:24:14	00:03:41	01:12:54	00:00:35	00:55:25	00:00:00	02:36:51	7	RELAY CO-ED
733	THINK SURGICAL	08:30:00	00:34:02	00:05:10	01:17:20	00:00:44	00:46:39	00:00:00	02:43:56	8	RELAY CO-ED
726	RUN FOR BEER	08:30:00	00:30:18	00:07:07	01:18:24	00:01:01	01:01:35	00:00:00	02:58:28	9	RELAY CO-ED
725	RAV3	08:30:00	00:31:26	00:03:16	01:20:11	00:00:38	01:04:15	00:00:00	02:59:47	10	RELAY CO-ED
723	KISS MY CGAS	08:30:00	00:39:54	00:05:05	01:27:08	00:00:35	00:51:21	00:00:00	03:04:05	11	RELAY CO-ED
722	G.FACE	08:30:00	00:38:23	00:04:36	01:44:31	00:00:46	00:51:46	00:00:00	03:20:04	12	RELAY CO-ED
734	TRIPLE D TRI TEAM	08:30:00	00:42:45	00:13:57	01:30:07	00:00:39	00:55:02	00:00:00	03:22:32	13	RELAY CO-ED
730	THE A TEAM	08:30:00	00:40:08	00:04:51	01:36:09	00:00:32	01:01:37	00:00:00	03:23:18	14	RELAY CO-ED
728	TEAM DOLORES	08:30:00	00:32:36	00:04:23	01:48:34	00:00:48	01:05:44	00:00:00	03:32:08	15	RELAY CO-ED
