Bib	Team Name	City	Start Time	Swim	T1	Bike	T2	Run	Chip Elapsed	Division	Div Place
799	THE OTHER GUYS AND GAL		08:35:00	00:22:27	00:03:35	01:05:59	00:02:10	00:43:06	02:17:19	RELAY-MIXED	1
784	DOGGY PADDLE	SANTA CRUZ	08:35:00	00:21:38	00:02:34	01:08:37	00:00:29	00:46:45	02:20:04	RELAY-MIXED	2
787	JOE SNOWDIN 2021	SANTA CRUZ	08:35:00	00:22:15	00:02:33	01:09:09	00:00:27	00:46:58	02:21:23	RELAY-MIXED	3
794	TEAM BICI TRI		08:35:00	00:23:49	00:03:28	01:08:53	00:00:32	00:45:03	02:21:46	RELAY-MIXED	4
802	TRI STD		08:35:00	00:28:52	00:03:11	01:19:28	00:00:28	00:43:56	02:35:56	RELAY-MIXED	5
797	THE DSOUZAS		08:35:00	00:24:21	00:03:03	01:22:38	00:00:39	00:47:34	02:38:17	RELAY-MIXED	6
785	EXCEPTIONALLY COMPETENT SQUAD ECS		08:35:00	00:31:51	00:03:18	01:16:27	00:00:27	00:47:58	02:40:02	RELAY-MIXED	7
801	THREE PLAI		08:35:00	00:23:15	00:02:37	01:27:37	00:00:48	00:47:29	02:41:48	RELAY-MIXED	8
798	THE EVTOLS	MARINA	08:35:00	00:33:13	00:04:08	01:13:32	00:00:49	00:51:42	02:43:26	RELAY-MIXED	9
793	SPEEDY PANTS	LAKEPORT	08:35:00	00:27:00	00:05:08	01:33:42	00:00:39	00:38:18	02:44:50	RELAY-MIXED	10
800	THE TOURISTS		08:35:00	00:24:41	00:03:00	01:20:53	00:00:27	00:56:12	02:45:15	RELAY-MIXED	11
795	TEAM IGEL		08:35:00	00:30:09	00:03:48	01:27:30	00:00:34	00:46:02	02:48:05	RELAY-MIXED	12
803	TRIDENT FRESH	SANTA CRUZ	08:35:00	00:34:27	00:03:56	01:22:32	00:00:29	00:48:19	02:49:45	RELAY-MIXED	13
782	CHAPULINES REUMÁTICOS		08:35:00	00:28:18	00:04:53	01:19:48	00:02:50	00:53:59	02:49:49	RELAY-MIXED	14
789	RUBEL RELAY		08:35:00	00:37:33	00:03:56	01:15:29	00:01:21	00:54:43	02:53:04	RELAY-MIXED	15
790	SHH		08:35:00	00:30:20	00:04:10	01:21:21	00:00:35	01:01:31	02:57:58	RELAY-MIXED	16
810	TRI NOT TO DIE		08:35:00	00:33:14	00:03:51	01:27:29	00:00:30	00:57:56	03:03:02	RELAY-MIXED	17
786	FOREVER ELKS	PALO ALTO	08:35:00	00:32:09	00:04:31	01:42:52	00:00:38	00:46:09	03:06:19	RELAY-MIXED	18
796	TEAM SLOWBY		08:35:00	00:47:08	00:03:54	01:26:29	00:02:28	00:47:25	03:07:25	RELAY-MIXED	19
806	WOOT FROM HOME		08:35:00	00:37:50	00:06:43	01:30:29	00:00:34	00:52:14	03:07:52	RELAY-MIXED	20
809	PARKER FAMILY	REDWOOD CITY	08:35:00	00:42:41	00:03:58	01:24:32	00:01:04	00:58:28	03:10:44	RELAY-MIXED	21
788	MEOW LEE WANG	SAN JOSE	08:35:00	00:43:24	00:06:01	01:32:51	00:00:46	01:07:33	03:30:37	RELAY-MIXED	22
805	WILL RACE FOR BEER		08:35:00	00:51:04	00:05:09	01:37:42	00:00:40	01:12:04	03:46:42	RELAY-MIXED	23
780	AIKI SLUGS	CHICO	08:35:00	00:30:18	00:03:04	00:00:00	00:00:00	00:00:00	00:00:00	RELAY-MIXED	25
781	BETTER CALL BIZOPS		08:35:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	RELAY-MIXED	26
783	CHLOE AND CIPRIAN	MOUNTAIN VIEW	08:35:00	00:38:09	00:13:56	00:00:00	03:08:43	01:02:13	04:10:57	RELAY-MIXED	24
791	SHOW UP OR THROW UP	SANTA CRUZ	08:35:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	RELAY-MIXED	27
792	SLIM PANCAKES	SAN JOSE	08:35:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	RELAY-MIXED	28
